,coefficient
217047_s_at,-0.06579188162370823
217771_at,0.06026753114383799
215712_s_at,-0.05944435353914106
202973_x_at,-0.05652150882720038
221474_at,0.05379412554378278
205860_x_at,-0.05142752940780578
215363_x_at,-0.05031461357330184
210328_at,-0.04902138298464743
1559573_at,-0.048813693135748855
209735_at,-0.04869523493961707
220801_s_at,-0.048086478623823516
209608_s_at,-0.046687033652099405
216379_x_at,0.045985772489918635
207345_at,-0.04488409643035575
205363_at,-0.04457884545677782
224629_at,-0.04452708105829286
207544_s_at,-0.043232800385919305
211569_s_at,-0.04259661102623432
223699_at,-0.04191723902174441
212282_at,-0.04067065629038256
229310_at,0.0396674457680034
235945_at,-0.038963569088158345
205476_at,0.03872818309077321
222931_s_at,-0.037763296311279504
204462_s_at,-0.03773195869943792
206606_at,-0.03771637532598472
204304_s_at,0.03760950385512575
209368_at,-0.03757906946972139
201319_at,0.0372030277744703
1553977_a_at,-0.0371561560191721
220892_s_at,-0.03665509617020765
220116_at,-0.036441559698280265
221667_s_at,0.03607266182532269
201522_x_at,0.03572526169814685
224579_at,0.03556966641349493
242817_at,-0.03549991081933773
1555175_a_at,-0.03536849719399436
208951_at,-0.035353997616140956
209771_x_at,0.03531317414579524
206938_at,-0.035239496788914644
201471_s_at,0.0330520808430141
211303_x_at,-0.03237917554761618
201899_s_at,0.03174208826968676
217820_s_at,0.03155344360631447
223702_x_at,-0.03139976047916949
218544_s_at,-0.02960026479748007
209978_s_at,-0.029122053981746127
209875_s_at,0.02891868919212705
212281_s_at,-0.02855598028338994
205942_s_at,-0.027207899228278407
211440_x_at,-0.02629561184705782
202025_x_at,-0.02617211379726824
211110_s_at,-0.02576061680498788
211441_x_at,-0.025615348416526667
223306_at,-0.02532230010771871
205913_at,-0.025143616533458406
231156_at,-0.024752191774568274
202427_s_at,-0.023226058277775564
210987_x_at,0.022976083956209103
211028_s_at,-0.02249852196265819
221731_x_at,0.022094026754554977
225826_at,-0.02198517678632431
201347_x_at,-0.021642896495329515
206561_s_at,0.020920899215310408
207883_s_at,-0.020269965502952743
201302_at,0.01971311176212326
226226_at,0.019655151715444283
227417_at,-0.01820625998274379
201397_at,-0.01787684383880285
206930_at,-0.017869365440480078
223979_x_at,-0.017674284191133243
210301_at,-0.017436842201611583
218477_at,-0.01731285667156417
41220_at,0.017070907632940807
214456_x_at,0.016832101992187154
1559033_at,-0.016733027163669638
210986_s_at,0.016478467682739844
218350_s_at,0.016230722452189518
207609_s_at,-0.015716592761430982
203979_at,-0.015491571428123154
213279_at,-0.015041821786708308
208374_s_at,0.014893784843225786
211231_x_at,-0.014527379959011997
232325_at,-0.014520772438091857
203682_s_at,-0.01427583721870055
211922_s_at,-0.014052428060354349
214142_at,-0.013990193839988337
236235_at,-0.013192616755804545
224299_x_at,-0.012580378564397449
216308_x_at,-0.012289185213381622
235642_at,-0.012000817307290712
204294_at,-0.011688110115330842
200639_s_at,0.0116788523742927
224156_x_at,-0.011388583153486986
226238_at,-0.01133417859151322
222784_at,-0.011231411546547372
201991_s_at,0.010760460367245192
218688_at,-0.01039898215518139
217718_s_at,0.010268193560976377
209340_at,-0.010063796162210401
210888_s_at,-0.009848318489323582
224043_s_at,-0.009268385645778919
240110_at,-0.00923906430092953
207988_s_at,0.00869319595570259
209154_at,0.008555207216809739
231683_at,-0.007054160857841037
201590_x_at,0.006977428695043285
219954_s_at,-0.006683472696647981
213540_at,-0.006306145884763129
209977_at,-0.0062264497955884235
227695_at,-0.005775628150787589
206263_at,-0.005231463217023465
203166_at,0.004939887781010924
202693_s_at,0.0048687572601078455
202351_at,0.00466519319478308
242680_at,-0.004437704765913034
206753_at,-0.004087438206298826
211423_s_at,-0.004084475979566912
211980_at,0.0038997006338985195
205173_x_at,0.003871985747458726
205433_at,-0.0038446933256586625
208650_s_at,0.0036286436419295525
204948_s_at,-0.003550243769861915
210013_at,-0.0029610557388138697
205361_s_at,0.0029429199537826267
211442_x_at,-0.002825213131267871
220604_x_at,-0.0027639168681814906
213626_at,-0.002713315558798514
227794_at,-0.0026334383964656772
210427_x_at,0.0026320427039502755
237390_at,-0.0020805084718878487
205079_s_at,-0.0016840892119809013
212154_at,-0.0014576722694859179
224300_x_at,-0.001285284785457628
220432_s_at,-0.0012781522280534332
201790_s_at,-0.0012529860384811655
200958_s_at,0.0010844641836187353
212314_at,5.589270826679465e-05
213094_at,-5.3965816701318027e-05
